window,type,row,col,value
12M,corr,r_cash,r_cash,1.0
12M,corr,r_cash,r_bond,0.7755915545174016
12M,corr,r_cash,r_equity,-0.08050668090777022
12M,corr,r_cash,r_alt,0.026192433325040263
12M,corr,r_bond,r_cash,0.7755915545174016
12M,corr,r_bond,r_bond,1.0
12M,corr,r_bond,r_equity,-0.5752240723396762
12M,corr,r_bond,r_alt,0.09630902609226408
12M,corr,r_equity,r_cash,-0.08050668090777022
12M,corr,r_equity,r_bond,-0.5752240723396762
12M,corr,r_equity,r_equity,1.0
12M,corr,r_equity,r_alt,-0.02990297872678427
12M,corr,r_alt,r_cash,0.026192433325040263
12M,corr,r_alt,r_bond,0.09630902609226408
12M,corr,r_alt,r_equity,-0.02990297872678427
12M,corr,r_alt,r_alt,1.0
12M,mu_monthly,r_cash,,0.0013978198161300932
12M,mu_annual,r_cash,,0.01677383779356112
12M,mu_monthly,r_bond,,0.0015207793987608853
12M,mu_annual,r_bond,,0.018249352785130624
12M,mu_monthly,r_equity,,0.01832058805806523
12M,mu_annual,r_equity,,0.21984705669678273
12M,mu_monthly,r_alt,,0.0321058070880618
12M,mu_annual,r_alt,,0.38526968505674164
24M,corr,r_cash,r_cash,1.0
24M,corr,r_cash,r_bond,0.651764762111384
24M,corr,r_cash,r_equity,0.004729251699725776
24M,corr,r_cash,r_alt,-0.15429229544162032
24M,corr,r_bond,r_cash,0.651764762111384
24M,corr,r_bond,r_bond,1.0
24M,corr,r_bond,r_equity,-0.27572509731080486
24M,corr,r_bond,r_alt,-0.2312719885235497
24M,corr,r_equity,r_cash,0.004729251699725776
24M,corr,r_equity,r_bond,-0.27572509731080486
24M,corr,r_equity,r_equity,1.0
24M,corr,r_equity,r_alt,0.09352306441268549
24M,corr,r_alt,r_cash,-0.15429229544162032
24M,corr,r_alt,r_bond,-0.2312719885235497
24M,corr,r_alt,r_equity,0.09352306441268549
24M,corr,r_alt,r_alt,1.0
24M,mu_monthly,r_cash,,0.0015326886743519674
24M,mu_annual,r_cash,,0.01839226409222361
24M,mu_monthly,r_bond,,0.0027518728900932654
24M,mu_annual,r_bond,,0.033022474681119185
24M,mu_monthly,r_equity,,0.015360168975118058
24M,mu_annual,r_equity,,0.1843220277014167
24M,mu_monthly,r_alt,,0.025918631661160884
24M,mu_annual,r_alt,,0.3110235799339306
36M,corr,r_cash,r_cash,1.0
36M,corr,r_cash,r_bond,0.6792476959577993
36M,corr,r_cash,r_equity,-0.06760674874850421
36M,corr,r_cash,r_alt,-0.19633166506743635
36M,corr,r_bond,r_cash,0.6792476959577993
36M,corr,r_bond,r_bond,1.0
36M,corr,r_bond,r_equity,-0.2592888030378569
36M,corr,r_bond,r_alt,-0.24701757964051563
36M,corr,r_equity,r_cash,-0.06760674874850421
36M,corr,r_equity,r_bond,-0.2592888030378569
36M,corr,r_equity,r_equity,1.0
36M,corr,r_equity,r_alt,0.13898667657722305
36M,corr,r_alt,r_cash,-0.19633166506743635
36M,corr,r_alt,r_bond,-0.24701757964051563
36M,corr,r_alt,r_equity,0.13898667657722305
36M,corr,r_alt,r_alt,1.0
36M,mu_monthly,r_cash,,0.0017220387725613603
36M,mu_annual,r_cash,,0.020664465270736322
36M,mu_monthly,r_bond,,0.003420840521646759
36M,mu_annual,r_bond,,0.04105008625976111
36M,mu_monthly,r_equity,,0.007504991788155712
36M,mu_annual,r_equity,,0.09005990145786855
36M,mu_monthly,r_alt,,0.021634817254898422
36M,mu_annual,r_alt,,0.25961780705878107
60M,corr,r_cash,r_cash,1.0
60M,corr,r_cash,r_bond,0.7006844735768072
60M,corr,r_cash,r_equity,-0.19405747921481892
60M,corr,r_cash,r_alt,-0.13218635440389376
60M,corr,r_bond,r_cash,0.7006844735768072
60M,corr,r_bond,r_bond,1.0
60M,corr,r_bond,r_equity,-0.35586957988332585
60M,corr,r_bond,r_alt,-0.18978804618563472
60M,corr,r_equity,r_cash,-0.19405747921481892
60M,corr,r_equity,r_bond,-0.35586957988332585
60M,corr,r_equity,r_equity,1.0
60M,corr,r_equity,r_alt,0.11311899999659052
60M,corr,r_alt,r_cash,-0.13218635440389376
60M,corr,r_alt,r_bond,-0.18978804618563472
60M,corr,r_alt,r_equity,0.11311899999659052
60M,corr,r_alt,r_alt,1.0
60M,mu_monthly,r_cash,,0.0018816076449904055
60M,mu_annual,r_cash,,0.022579291739884867
60M,mu_monthly,r_bond,,0.003435112722441014
60M,mu_annual,r_bond,,0.041221352669292166
60M,mu_monthly,r_equity,,0.002049093825537037
60M,mu_annual,r_equity,,0.024589125906444444
60M,mu_monthly,r_alt,,0.017191994237685842
60M,mu_annual,r_alt,,0.2063039308522301
120M,corr,r_cash,r_cash,1.0
120M,corr,r_cash,r_bond,0.6254794473992259
120M,corr,r_cash,r_equity,-0.08556910969061493
120M,corr,r_cash,r_alt,-0.12728248111076806
120M,corr,r_bond,r_cash,0.6254794473992259
120M,corr,r_bond,r_bond,1.0
120M,corr,r_bond,r_equity,-0.25353487362157956
120M,corr,r_bond,r_alt,-0.05652671747232982
120M,corr,r_equity,r_cash,-0.08556910969061493
120M,corr,r_equity,r_bond,-0.25353487362157956
120M,corr,r_equity,r_equity,1.0
120M,corr,r_equity,r_alt,0.14562121115885499
120M,corr,r_alt,r_cash,-0.12728248111076806
120M,corr,r_alt,r_bond,-0.05652671747232982
120M,corr,r_alt,r_equity,0.14562121115885499
120M,corr,r_alt,r_alt,1.0
120M,mu_monthly,r_cash,,0.0023250518315366584
120M,mu_annual,r_cash,,0.0279006219784399
120M,mu_monthly,r_bond,,0.0031549349767290625
120M,mu_annual,r_bond,,0.03785921972074875
120M,mu_monthly,r_equity,,0.006234362991254889
120M,mu_annual,r_equity,,0.07481235589505866
120M,mu_monthly,r_alt,,0.012481669596014305
120M,mu_annual,r_alt,,0.14978003515217164
180M,corr,r_cash,r_cash,1.0
180M,corr,r_cash,r_bond,0.6377241976065409
180M,corr,r_cash,r_equity,0.03436845704520005
180M,corr,r_cash,r_alt,-0.0864081275743641
180M,corr,r_bond,r_cash,0.6377241976065409
180M,corr,r_bond,r_bond,1.0
180M,corr,r_bond,r_equity,-0.14108805667943441
180M,corr,r_bond,r_alt,-0.05765873567882179
180M,corr,r_equity,r_cash,0.03436845704520005
180M,corr,r_equity,r_bond,-0.14108805667943441
180M,corr,r_equity,r_equity,1.0
180M,corr,r_equity,r_alt,0.15265294635577725
180M,corr,r_alt,r_cash,-0.0864081275743641
180M,corr,r_alt,r_bond,-0.05765873567882179
180M,corr,r_alt,r_equity,0.15265294635577725
180M,corr,r_alt,r_alt,1.0
180M,mu_monthly,r_cash,,0.002664557527818993
180M,mu_annual,r_cash,,0.03197469033382792
180M,mu_monthly,r_bond,,0.003585989617809749
180M,mu_annual,r_bond,,0.04303187541371699
180M,mu_monthly,r_equity,,0.005777234697743407
180M,mu_annual,r_equity,,0.06932681637292089
180M,mu_monthly,r_alt,,0.007212399740708318
180M,mu_annual,r_alt,,0.08654879688849981
240M,corr,r_cash,r_cash,1.0
240M,corr,r_cash,r_bond,0.6773003685799851
240M,corr,r_cash,r_equity,-0.07339240438809135
240M,corr,r_cash,r_alt,-0.14483450651057267
240M,corr,r_bond,r_cash,0.6773003685799851
240M,corr,r_bond,r_bond,1.0
240M,corr,r_bond,r_equity,-0.19188110731451122
240M,corr,r_bond,r_alt,-0.11358010088555502
240M,corr,r_equity,r_cash,-0.07339240438809135
240M,corr,r_equity,r_bond,-0.19188110731451122
240M,corr,r_equity,r_equity,1.0
240M,corr,r_equity,r_alt,0.20744419286675442
240M,corr,r_alt,r_cash,-0.14483450651057267
240M,corr,r_alt,r_bond,-0.11358010088555502
240M,corr,r_alt,r_equity,0.20744419286675442
240M,corr,r_alt,r_alt,1.0
240M,mu_monthly,r_cash,,0.002544046946916212
240M,mu_annual,r_cash,,0.030528563362994546
240M,mu_monthly,r_bond,,0.0032815173301158278
240M,mu_annual,r_bond,,0.03937820796138993
240M,mu_monthly,r_equity,,0.010956557593786493
240M,mu_annual,r_equity,,0.13147869112543792
240M,mu_monthly,r_alt,,0.008083648208069902
240M,mu_annual,r_alt,,0.09700377849683883
